NUM,AUTH,YR_PUB,YR_PRI,SQ_APLS,CA_GRANT,SQ_SCOPE,LN_FAMSIZE,CA_NPL
38222676,1,2008,2007,2,0,1,1,0
39156541,1,2008,2007,1,0,1,1,0
39577397,1,2008,2007,1,0,1,1,0
39951447,1,2009,2007,1,0,1,1,0
40304948,1,2009,2007,1,0,2,1,0
37734774,1,2007,2005,1,0,1,1,1
8180897,1,2003,2001,1,0,1,1,0
34353430,1,2005,2003,1,1,1,2,0
35789234,1,2007,2004,1,1,1,2,1
30010680,1,2004,2002,1,1,1,1,0
34399758,1,2005,2003,1,1,1,2,0
35464091,1,2007,2005,1,1,1,2,0
34934229,1,2006,2005,1,1,1,1,1
29415152,1,2003,2002,1,0,1,1,0
37776596,1,2008,2006,1,0,1,1,0
26055277,1,2001,1999,1,1,2,2,1
29285673,1,2003,2002,1,0,1,1,0
38460983,3,2008,2007,1,0,2,1,0
39575569,3,2008,2007,1,1,2,1,1
7697689,1,2003,2001,1,0,1,1,0
28050790,1,2003,2002,1,0,1,1,0
28050863,1,2003,2002,2,0,1,1,0
29413788,1,2003,2002,1,0,1,2,0
34203138,1,2005,2003,1,0,1,1,0
18130821,3,2001,1999,1,1,1,2,1
7900155,1,2000,1999,1,1,1,1,0
8094193,1,2002,1999,1,0,1,1,1
8097738,1,2002,1999,1,0,1,1,1
8310280,1,2003,1999,1,0,1,2,1
7632792,1,2001,2000,1,0,1,1,0
7647085,1,2002,2000,1,0,1,1,1
7662857,1,2002,2000,1,0,2,1,0
27419396,1,2003,2000,1,0,1,1,1
7936775,1,2002,2000,1,1,1,2,1
29720179,1,2004,2001,1,0,1,1,1
19910952,1,2003,2000,1,0,2,2,1
11458889,1,2002,2001,1,1,1,2,1
7695161,1,2003,2001,1,0,1,1,0
7961146,1,2003,2001,1,1,1,2,0
8496468,1,2002,2001,1,0,1,1,1
27675811,1,2003,2002,1,0,1,1,1
7680654,1,2004,2001,1,1,2,2,1
8160449,1,2004,2001,1,1,1,2,1
7704364,1,2004,2001,1,0,1,1,1
26246824,1,2004,2001,1,1,2,2,1
28799102,1,2003,2002,1,0,1,1,1
28799100,1,2003,2002,1,1,1,2,0
28799101,1,2003,2002,1,0,1,1,1
31984389,1,2004,2002,1,0,1,1,0
34486439,1,2005,2003,1,0,1,1,1
