docdb_family_id,doc_std_name_id_replenished
40900786,349425
37865899,3947909
41667475,357418
41134545,357629
44143120,3471577
37402106,3477113
8092632,4748379
43086942,6150194
44011948,6153419
30010680,6270430
41378886,7265240
40278957,7278559
38522930,7275015
7900155,7312920
41058836,7413784
40911967,7413784
42668930,9219903
37114539,9246368
40377585,9246368
42184116,9244488
35840322,9245250
41066666,10942536
40785550,10948566
41319049,12773357
33514968,14661004
33515012,14661004
40623863,16520183
38807850,16516176
41259894,16613146
41319049,18069072
42222974,18092387
19910952,18107284
35746213,18214045
43853267,18222133
42542992,18225098
42980418,989264
27393500,1013088
35452679,1013088
41567276,1047451
34530405,1064178
39597613,1135067
39930325,2362525
42060164,2403036
42987695,2405477
43353624,2428668
41427901,2457028
43588695,4098415
43588696,4098415
33539078,4180276
38895466,4209661
34679397,4210051
38519700,4210051
27093569,2989484
27419396,5298410
25016102,5298410
40801603,5449834
35520062,5449834
38522930,6918909
42222090,6951186
41707599,6947684
44257962,6949070
34909985,8728952
40490415,8765834
38805602,8771972
39590878,8771972
26055277,8815294
40810593,8818323
40600122,8824624
27393500,99094447
43992133,10007806
43778525,10007806
34753150,11671848
38814477,11711991
38983706,11711991
42165358,11774482
38895466,13312495
40824788,14725776
40560639,14739479
41467148,14833317
41161329,14833317
41010469,14833317
40265972,14833317
40225367,14833317
34962866,16122201
38459040,17737195
40795198,17737195
42106341,17737195
34908870,17737195
42309913,17737195
42316549,17737195
40406267,17737195
40795199,17737195
41433796,17737195
42633548,17737195
44143128,17814760
41668280,17814760
44143131,17814760
38366946,17877055
42106341,15337148
40795198,15337148
38459040,15337148
36916479,15337148
40406267,15337148
41433796,15337148
42633548,15337148
40795199,15337148
44082210,709938
25522816,99810688
44304866,2088313
41227060,2146708
40298698,2208749
40298698,2221911
46302938,3916373
34178077,4002742
42668460,4013838
39823810,5070380
39081588,5070380
37683696,5070380
42231268,5090270
27093569,5200257
7696033,5200257
21780855,5200257
39263105,6711969
40765599,6743347
34912417,6768266
43497461,6768266
43496816,6768266
41529649,6768266
40607009,8214713
44647405,8275132
42039710,8291593
39364044,8363845
39356556,8363845
40074827,8437228
32321662,8438842
44777598,9719884
34103166,9805636
36869906,9863108
38255293,9863107
38666822,9863107
40936293,9886909
43969832,11425996
33562780,9335351
35721676,16183194
42562380,11479765
41707341,11592463
41631967,12906126
