appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
35835,EP,38222676,2008,2,0,1,1,1,0
57533,EP,39156541,2008,1,0,1,1,1,0
57543,EP,39577397,2008,1,0,1,1,1,0
70636,EP,39951447,2009,1,0,1,1,1,0
86022,EP,40304948,2009,1,0,1,2,1,0
134774,EP,37734774,2007,1,0,1,1,1,1
216796,EP,8180897,2003,1,0,1,1,1,0
251266,EP,34353430,2005,1,1,1,1,2,0
274873,EP,35789234,2007,1,1,1,1,2,1
296868,EP,30010680,2004,1,1,1,1,1,0
301736,EP,34399758,2005,1,1,1,1,2,0
343321,EP,35464091,2007,1,1,1,1,2,0
363306,EP,34934229,2006,1,1,1,1,1,1
390428,EP,29415152,2003,1,0,1,1,1,0
391739,EP,37776596,2008,1,0,1,1,1,0
394321,EP,26055277,2001,1,1,1,2,2,1
445024,EP,29285673,2003,1,0,1,1,1,0
464807,US,38460983,2008,1,0,2,2,1,0
464809,US,39575569,2008,1,1,2,2,1,1
15628401,EP,7697689,2003,1,0,1,1,1,0
15636220,EP,28050790,2003,1,0,1,1,1,0
15636312,EP,28050863,2003,3,0,1,1,1,0
15637806,EP,29413788,2003,1,0,1,1,2,0
15642339,EP,34203138,2005,1,0,1,1,1,0
15710451,EP,18130821,2001,1,1,2,1,2,3
15710539,EP,7900155,2000,1,1,1,1,1,0
15754090,EP,8094193,2002,1,0,1,1,1,1
15769522,EP,8097738,2002,1,0,1,1,1,1
15784666,EP,8310280,2003,1,0,1,1,2,1
15805571,EP,7632792,2001,1,0,1,1,1,0
15814215,EP,7647085,2002,1,0,1,1,1,2
15822813,EP,7662857,2002,1,0,1,2,1,0
15831676,EP,27419396,2003,1,0,1,1,1,1
15854738,EP,7936775,2002,1,1,1,1,2,1
15857120,EP,29720179,2004,1,0,1,1,1,1
15858229,EP,19910952,2003,1,0,1,2,2,1
15907586,EP,11458889,2002,1,1,1,1,2,1
15912482,EP,7695161,2003,1,0,1,1,1,0
15914102,EP,7961146,2003,1,1,1,1,2,0
