docdb_family_id,ipc_class
3522570,F03D7/02
7632792,F03D7/02
7634034,F03D7/04
7637663,F03D7/04
7637663,F03D9/00
7641030,F03D11/00
7641030,F03D7/02
7641030,F03D7/04
7641030,H02P9/00
7641584,F03D7/00
7641584,F03D7/02
7641584,F03D7/04
7641584,F03D9/00
7641584,H02G3/38
7641584,H02J3/38
7641584,H02J3/40
7641584,H02K7/18
7641584,H02P9/00
7641584,H02P9/04
7641584,H02P9/42
7641584,H02P9/48
7641891,F03D11/00
7641891,F03D7/02
7641891,F03D7/04
7647085,F03D11/00
7647085,F03D7/02
7647633,B64C27/00
7647633,B64C27/02
7647633,F01B25/26
7647633,F01D25/00
7647633,F03D11/00
7647633,F03D11/04
7647633,F03D7/00
7647633,F03D7/02
7648210,F03D7/00
7648210,G05B13/04
7648210,G05B17/02
7662857,F03D11/00
7662857,F03D7/02
7662857,F16C39/06
7662857,H02K7/09
7662857,H02K7/18
7664328,F03D11/00
7664328,F03D11/04
7664328,F03D7/02
7664328,F03D7/04
7673596,F03D1/06
7673596,F03D11/02
7673596,F03D7/02
7673596,F03D7/04
7673596,F03D9/00
7675751,F03D11/00
7675751,F03D7/02
7675751,F03D7/04
7675751,H02P9/04
7677928,F03D11/00
7677928,F03D11/04
7677928,F03D7/02
7677928,F03D7/04
7677928,H02K7/18
7677929,F03D11/00
7677929,F03D11/04
7677929,F03D7/00
7677929,F03D7/02
7677929,F03D7/04
7677929,G01P5/00
7679374,F03D11/00
7679374,F03D7/04
7679374,F03D9/00
7679374,G01D9/00
7680654,F03D7/02
7680654,F03D9/00
7680654,H02J3/38
7680654,H02P9/00
7680654,H02P9/42
7682117,F03D1/00
7682117,F03D11/00
7682117,F03D11/04
7682117,F03D7/02
7682248,F03D7/02
7682248,F03D7/04
7682248,F03D9/00
7682248,H02P9/04
7687149,F03D7/02
7687149,F03D7/04
7687149,F03D9/00
7687149,H02K16/00
7687372,F03D7/04
7687372,F03D9/00
7687374,F03D11/00
7687374,F03D7/02
7687374,F03D7/04
7687374,H01H19/18
7687374,H01H19/62
7692180,F03D7/02
7692180,F03D7/04
7692180,F03D9/00
7692180,H02P9/48
7693714,F03D11/00
7693714,F03D7/00
7693714,F03D7/02
7693714,F03D7/04
7693714,G01W1/02
7695161,F03D7/02
7695161,F15B11/12
7695161,F15B13/00
7696033,F03D7/02
7696219,F03D7/02
7696580,F03D1/06
7696580,F03D11/00
7696580,F03D11/04
7696580,F03D7/02
7696580,F03D7/04
7696580,F04D29/36
7696580,F16C19/18
7696580,F16C33/66
7697689,F03D1/06
7697689,F03D7/02
7700862,B63H1/06
7700862,F03D7/00
7700862,F03D7/02
7700862,F03D7/04
7700862,F03D9/00
7700862,G05D17/02
7700862,H02J3/38
7700862,H02P9/00
7700862,H02P9/04
7704364,F03D7/02
7710172,B64C11/28
7710172,F03D7/02
7710172,F04D29/26
7836808,F03D7/02
7836808,F03D7/04
7837740,F03D1/06
7852685,F03D7/00
7852685,F03D7/04
7852685,F03D9/00
7852685,H02J3/38
7852685,H02P9/00
7852685,H02P9/30
7852685,H02P9/44
